frequency;value
0;124
1;106
2;143
3;156
4;77
5;115
6;112
7;144
8;90
9;121
10;109
11;102
12;51
13;99
14;78
15;105
16;156
17;159
18;132
19;125
20;93
21;128
22;120
23;127
24;110
25;122
26;101
27;108
28;83
29;115
30;80
31;127
32;146
33;101
34;167
35;101
36;84
37;111
38;110
39;138
40;86
41;91
42;102
43;115
44;84
45;78
46;95
47;117
48;114
49;98
50;100
51;98
52;90
53;83
54;101
55;76
56;111
57;84
58;120
59;98
60;73
61;63
62;87
63;77
64;126
65;99
66;128
67;93
68;106
69;142
70;131
71;151
72;136
73;124
74;142
75;129
76;105
77;145
78;150
79;323
80;179
81;159
82;150
83;139
84;110
85;290
86;101
87;153
88;168
89;164
90;165
91;159
92;100
93;123
94;136
95;126
96;98
97;107
98;112
99;103
100;94
101;114
102;120
103;132
104;105
105;119
106;144
107;139
108;87
109;132
110;121
111;109
112;161
113;96
114;136
115;126
116;79
117;85
118;82
119;97
120;161
121;91
122;154
123;132
124;97
125;88
126;123
127;104
128;146
129;146
130;177
131;154
132;122
133;134
134;133
135;134
136;115
137;124
138;144
139;117
140;101
141;111
142;101
143;114
144;121
145;84
146;165
147;119
148;212
149;137
150;100
151;113
152;80
153;47
154;98
155;70
156;92
157;71
158;110
159;80
160;181
161;125
162;360
163;198
164;127
165;122
166;116
167;138
168;120
169;103
170;177
171;198
172;71
173;133
174;104
175;154
176;107
177;83
178;146
179;99
180;154
181;122
182;128
183;98
184;78
185;90
186;111
187;104
188;85
189;97
190;88
191;91
192;174
193;144
194;283
195;186
196;194
197;233
198;185
199;219
200;127
201;104
202;149
203;123
204;138
205;166
206;144
207;163
208;143
209;115
210;159
211;122
212;157
213;161
214;165
215;134
216;114
217;107
218;150
219;113
220;149
221;113
222;146
223;90
224;110
225;110
226;159
227;116
228;150
229;235
230;132
231;156
232;109
233;109
234;169
235;127
236;151
237;187
238;170
239;157
240;164
241;117
242;188
243;130
244;251
245;171
246;166
247;116
248;126
249;114
250;171
251;124
252;192
253;107
254;274
255;143
